"ExperimentID","PercentageOfInc","ConstraintStrictness","WindowSizeMs","WindowSlideMs","StartTimeMs","CurrentTimeMs","NumberOfEvents","AvgMemory","MaxMemory","AvgCPU","MaxCPU","NumberOfInconsistencies","AverageInconsistencies",DummyStartTimeMs,DummyCurrentTimeMs
"stock-graph-pearson-5a85fd22-77dd-4a9e-8332-82a0784c78d3","0","1","10000","5000","1685183892728","1685184001282","1900001","1562229363","1577058304","0.8052019393232516","0.9366844322186882","21","1.1052625761775915E-5",1684952281936,1684952312606
"stock-graph-pearson-0d440307-4324-4f1e-95cd-57d3a7d62bec","0","1","10000","2000","1685184008447","1685184119471","1900001","1608375574","1895825408","0.801548157398829","0.933485171149957","21","1.1052625761775915E-5",1684952450618,1684952482471
"stock-graph-pearson-82f80788-a148-440d-a08b-fb70a96652cc","0","1","100000","50000","1685184126632","1685184236939","1900001","1866377647","1895825408","0.8067787603696788","0.92039116741335","21","1.1052625761775915E-5",1684952626390,1684952659492
"stock-graph-pearson-afa663a7-ba22-483f-bc5a-3fc31bb5a3bf","0","1","100000","20000","1685184244224","1685184358466","1900001","1790008445","1895825408","0.813172812438489","0.9330118389175847","21","1.1052625761775915E-5",1684952835912,1684952872831
"stock-graph-pearson-d3ec74a5-45ab-4335-8438-efdc43b898e6","0","1","1000000","500000","1685184365658","1685184511824","1900001","2073567944","2113929216","0.8486918278080344","0.9296089430226759","21","1.1052625761775915E-5",1684953094230,1684953157470
"stock-graph-pearson-c35199d9-064e-4864-8f2d-bdaf1e215547","0","1","1000000","200000","1685184519052","1685184769236","1900001","2996762373","3070230528","0.9078237569285357","0.9318613623836851","21","1.1052625761775915E-5",1684953554973,1684953729663
"stock-graph-pearson-0807d8b8-be0d-43f6-a602-a2eba498c8d2","0","1","10000000","5000000","1685184776528","1685186262467","1900001","4088244182","4278190080","0.975563520096692","0.9806496866256489","21","1.1052625761775915E-5",1684955676826,1684957265445
"stock-graph-pearson-8cd708a6-de87-433c-84ee-2be81e7dc2c8","0","1","10000000","2000000","1685186269745","1685191530320","1900001","7461363627","8455716864","0.986347208843355","0.9907560294225171","21","1.1052625761775915E-5",1684962502133,1684967802716
"stock-graph-pearson-6a9b1527-0c66-4e87-ae45-f5b14d5ee861","0","5","1000000","200000","1685192916520","1685193179378","1900001","2895776668","2961178624","0.910929405194091","0.9305830904353982","1094","5.757891706372787E-4",,
"stock-graph-pearson-b0fcf4b4-a916-4480-a092-b4f108bb5750","0","5","100000","20000","1685193186718","1685193300673","1900001","1791329005","1895825408","0.8115291818756021","0.9298744736945658","1094","5.757891706372787E-4",,
"stock-graph-pearson-0378f4e6-daf6-436f-9a57-3808a0bb31f3","0","10","1000000","200000","1685193307866","1685193568263","1900001","2922354837","3011510272","0.9099815287253394","0.9298698511427507","4603","0.0024226303038787874",,
"stock-graph-pearson-c9053f22-7492-4270-b639-918223af48af","0","10","100000","20000","1685193575540","1685193693049","1900001","1562229363","1577058304","0.8154737572675597","0.9309676118482438","4603","0.0024226303038787874",,
"stock-graph-pearson-37cd50f8-b0fc-4a0d-aaba-75cdd36c6571","0","20","1000000","200000","1685193700179","1685193955375","1900001","2969444542","3053453312","0.9106157235449212","0.9291962001236027","16860","0.008873679540168664",,
"stock-graph-pearson-6a1fad32-b9d8-476f-b41b-ad8705eacdeb","0","20","100000","20000","1685193962642","1685194079549","1900001","1790196491","1895825408","0.8156559444620993","0.9301835069228613","16860","0.008873679540168664",,
